DrugBankID	Targets	Fullname
DB03787	2740	L-Pyridoxyl-N,O-Cycloserylamide-5-Monophosphate
DB03788	346	GC-24
DB03789		2,3-Dimethylimidazolium Ion
DB03790	3625	S-Dioxymethionine
DB03791	2907	(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid
DB03792	5682	5-Amino-1h-Pyrimidine-2,4-Dione
DB03793	3718, 3018, 2958, 6645, 3014, 3603, 3115, 4674, 5426, 5184, 5427, 5428, 1119, 2693, 2573	Benzoic Acid
DB03794		Trifluoroalanine
DB03795	3184	2-Dehydropantoate
DB03796	6459, 5430, 5431, 4924, 5432, 5433, 2207, 283, 7048, 6677, 6096	Palmitic Acid
DB03797		3-Aminomethyl-Pyridinium-Adenine-Dinucleotide
DB03798	5435, 2729	2'-Deoxycytidine-5'-Monophosphate
DB03799	3684, 2800	Trifluoromethionine
DB03800	5352, 2490, 2729, 2626, 359, 2567, 2555, 2410	2'-deoxyuridylic acid
DB03801	3145, 3168, 3230, 3122, 2983, 3281, 3237, 3292, 4549, 5436, 4264, 2340, 2317, 2453, 2801, 2796, 2717, 2646, 2240	Lysine Nz-Carboxylic Acid
DB03802	136	1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB03803	3722	Inhibitor Msa367
DB03804	2559	5-Bromothienyldeoxyuridine
DB03805	424	Antiproliferative Agent A771726
DB03807	541	1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester
DB03808	2331, 6461	4,4'[1,6-Hexanediylbis(Oxy)]Bisbenzenecarboximidamide
DB03809	1939	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB03810		(3r)-3-Methyl-L-Glutamic Acid
DB03811	3191, 3266	Histidinol
DB03812	2333	3-{2,6,8-Trioxo-9-[(2s,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate
DB03813	3325, 6519	2-Decenoyl N-Acetyl Cysteamine
DB03814	474, 2597, 2381, 2720, 364, 3697, 3274, 3356, 3500, 3399, 3480, 287, 3462, 3781, 3736, 5180, 4771, 5439, 5440, 4498, 597, 577, 5443, 7148, 5445, 5446, 5447, 3923, 5448, 7151, 5449, 5450, 6991, 4705, 4611, 4608, 7144, 5454, 1615, 904	2-(N-Morpholino)-Ethanesulfonic Acid
DB03815	3245	Fucitol
DB03816	2800	Difluoromethionine
DB03817	4140, 4820	2,4-Diaminobutyric Acid
DB03818	2626	N-[Tosyl-D-Prolinyl]Amino-Ethanethiol
DB03819		Salicylhydroxamic Acid
DB03820	2461	(2s,5r,6r)-6-{[(6r)-6-(Glycylamino)-7-Oxido-7-Oxoheptanoyl]Amino}-3,3-Dimethyl-7-Oxo-4-Thia-1-Azabicyclo[3.2.0]Heptane-2-Carboxylate
DB03821	5455	2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid
DB03822	2796, 3923	Ethyl Dihydrogen Phosphate
DB03823		Epigallocatechin
DB03824	974	7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline
DB03825	2331, 3307	Rhodamine 6g
DB03826		5,6-Diaminouracil
DB03827	2841	(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine
DB03828	933	RU78299
DB03829		Pseudouridine-5'-Monophosphate
DB03830	137	Phosphorylated Dihydropteroate
DB03831		1-Monooleoyl-Rac-Glycerol
DB03832	412	3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium
DB03833	3614	2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole
DB03834	3687	Tazobactam Intermediate
DB03835	1152	N-(8,9,10-Trihydroxy-7-Hydroxymethyl-2,4-Dioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Dec-3-Yl-Acetamide
DB03836	2298	1,3,5-Trichloro-Benzene
DB03837	2993	Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide
DB03839		D-Tyrosine
DB03840	2443	Tetra(Imidazole)Diaquacopper (Ii)
DB03841	3947	Y-700
DB03842	2300	2-Chloro-6-Methyl-Aniline
DB03843	2461	Formaldehyde
DB03844	357	N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide
DB03845	2254	P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate
DB03846	2251	5-Hydroxymethyluridine-2'-Deoxy-5'-Monophosphate
DB03847	54, 798, 239, 5461	Gamma-Carboxy-Glutamic Acid
DB03848	2907	Benzenesulfonyl
DB03849	2358, 541	Cis-4-Cyano-4-[3-(Cyclopentyloxy)-4-Methoxyphenyl]Cyclohexanecarboxylic Acid
DB03850	3822	Jaspisamide A
DB03851		Carbazole Butanoic Acid
DB03852		Eucalyptol
DB03853		Azo-Dye Hapten
DB03854	3019	Pentane-1,5-Diamine
DB03855	2303	L-Threonohydroxamate 4-Phosphate
DB03856	449	Alpha-Difluoromethylornithine
DB03857	2440	1,4-Deoxy-1,4-Dithio-Beta-D-Glucopyranose
DB03858		S-Acetonylcysteine
DB03859	2802	1-Thio-Beta-D-Glucopyranose
DB03860	869	N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide
DB03861	2033, 5463	(2r,3r,4s,5r)-2-Acetamido-3,4-Dihydroxy-5-Hydroxymethyl-Piperidinium
DB03862	2252, 3298	Tetrahydrooxazine
DB03863	2581, 2430	2-O-Methyl Fucose
DB03864	3873	Monothioglycerol
DB03865	54, 3176, 1074, 3851	6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine
DB03866	290	Prostaglandin G2
DB03867	714	Meta-Nitro-Tyrosine
DB03868	3183	3-Dehydroquinic Acid
DB03869	2877	5'-O-(N-(L-Seryl)-Sulfamoyl)Adenosine
DB03870	3215	Ara-Alpha(1,3)-Xyl
DB03871	2443	Lambda-Bis(2,2'-Bipyridine)Imidazole Ruthenium (Ii)
DB03872		2,3-Dideoxyfucose
DB03873		N-(5,5,8,8-Tetramethyl-5,8-Dihydro-Naphthalen-2-Yl)-Terephthalamic Acid
DB03874	2828	(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine
DB03875	2298	Delta-Bis(2,2'-Bipyridine)-(5-Methyl-2-2'-Bipyridine)-C9-Adamantane Ruthenium (Ii)
DB03876	3176, 1074	Thieno[2,3-B]Pyridine-2-Carboxamidine
DB03877	357	AL4623
DB03878	3462, 17	N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide
DB03879	6992, 2581	Alpha-L-Methyl-Fucose
DB03880	2154, 2203, 2970, 6374, 6230	Batimastat
DB03881	277, 5421	MT-Immucillin-H
DB03882	869	5-Alpha-Androstane-3-Beta,17beta-Diol
DB03883		Carboxyethyllumazine
DB03884	6616, 6268, 6657, 6825, 6826, 6827	3-Phenylpyruvic Acid
DB03885		1-Menaphthyl Glutathione Conjugate
DB03886	1124, 7030, 365	Biopterin
DB03887	2264	Alpha-Adenosine Monophosphate
DB03888	2828	Allyl-{6-[3-(4-Bromo-Phenyl)-1-Methyl-1h-Indazol-6-Yl]Oxy}Hexyl)-N-Methylamine
DB03889	3319	S-(N-Hydroxy-N-Bromophenylcarbamoyl)Glutathione
DB03890	6260	N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide
DB03891	5839	1,5-Bis(N-Benzyloxycarbonyl-L-Leucinyl)Carbohydrazide
DB03892	76	5-N-Allyl-Arginine
DB03893	599	Thionicotinamide-Adenine-Dinucleotide
DB03894	3939	N-Propargyl-1(S)-Aminoindan
DB03895	2331	Malachite Green
DB03896	7025	Triphospate
DB03897	3099, 6627, 6564	Hydroxyphenyl Propionic Acid
DB03898	4139	3-Chloro-4-Hydroxyphenylglycine
DB03899	1939	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB03900	5682, 6346, 2795, 2392, 465	2-Methyl-2-Propanol
DB03901	3375	5-Oxo-Pyrrolidine-2-Carbaldehyde
DB03902	933	Oxalic Acid
DB03903	3822	Tmr
DB03904	315, 357, 3628, 1392, 3627, 3682	Urea
DB03905	2376	Succinamide-Coa
DB03906	810	2-Phenylheme
DB03907	3810	N-{3-[5-(6-Amino-Purin-9-Yl)-3,4-Dihydroxy-Tetrahydro-Furan-2-Yl]-Allyl}-2,3-Dihydroxy-5-Nitro-Benzamide
DB03908	3722	Inhibitor Bea322
DB03909	2717, 2615, 2299, 2621, 2817, 36, 6390, 48, 6964, 2878, 3669, 5466, 4517, 5312	Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate
DB03910	291	S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea
DB03911	2260	L-Xylopyranose
DB03912	3543, 3199, 3567	4'-Phosphopantetheine
DB03913		Coenzyme F420
DB03914		[2-(1-Amino-2-Hydroxy-Propyl)-4-(1h-Indol-3-Ylmethylene)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde
DB03915	3721	2-Amino-3-Ketobutyric Acid
DB03916	2572, 6503	4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine
DB03917		N-Ethyl Retinamide
DB03918	291	6s-5,6,7,8-Tetrahydrobiopterin
DB03919	3225	Ethyl-Carbamic Acid Methyl Ester
DB03920		N-Methyl-Alpha-Beta-Dehydroalanine
DB03921	6284	4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline
DB03923	7096	Feruloyl Coenzyme A
DB03924	2236	5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone
DB03925	437, 6260	ONO-6818
DB03926		5-Alpha-Androstane-3-Beta,17-Alpha-Diol
DB03927	2461	Glycyl-L-Alpha-Amino-Epsilon-Pimelyl-D-Alanine
DB03928	868	Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol
DB03929	482, 401, 6973, 5469	D-Serine
DB03930		4-Methyl-Pyrroline-5-Carboxylic Acid
DB03931	3311	Diguanosine-5'-Triphosphate
DB03932	572	LFA703
DB03933	3637	C-1027 Aromatized Chromophore
DB03934	1507	Protoporphyrin Ix Containing Zn
DB03935	1525, 6654	1,4-Dideoxy-O2-Sulfo-Glucuronic Acid
DB03936	2542	1-Deoxy-Ribofuranose-5'-Phosphate
DB03937	2310, 2206, 3134	Erythose-4-Phosphate
DB03938	3334	Deacetoxycephalosporin-C
DB03939	3394	4-Hydroxy-3,4-Dihydro-1h-Pyrimidin-2-One
DB03940	2641, 2424, 473, 77, 3178, 3545	Oxamic Acid
DB03941		Heptanyl-P-Phenol
DB03942	3714, 3015, 3681	Carboxylic PRPP
DB03943		D-Asparagine
DB03944	1561	5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One
DB03945	1017, 6981, 3577	Phosphocholine
DB03946		3,4-Dihydroxybenzoic Acid
DB03947	2260	D-Xylulose
DB03948	838, 796	6-Chloropurine Riboside, 5'-Monophosphate
DB03949	2457	(2-Sulfanyl-3-Phenylpropanoyl)-Phe-Tyr
DB03950	357	(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide
DB03951	2856, 2949	16g
DB03952	3683	9-(6-Deoxy-Beta-D-Allofuranosyl)-6-Methylpurine
DB03953	7	L-Thiocitrulline
DB03955	5983	1,5-Dideoxy-1,5-Imino-D-Mannitol
DB03956	7000	D-Myo-Inositol-2,4,5-Trisphosphate
DB03957	1575	SP2456
DB03958	2247, 3130	Mrna Cap Analog N7-Methyl Gpppg
DB03959	1525, 760, 2805, 1943, 2654, 6654	N,O6-Disulfo-Glucosamine
DB03960		Cp-Coeleneterazine
DB03961	2383	2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate
DB03962	6040	Nicotinamide 8-Bromo-Adenine Dinucleotide Phosphate
DB03963	2090, 2433, 2237, 291, 2906, 2928, 2888, 2939	S-(Dimethylarsenic)Cysteine
DB03964	7014	4-Hydroxy-Aconitate Ion
DB03966	887	Clorobiocin
DB03967	6252, 3578	Dodecyl Sulfate
DB03968	298	1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine
DB03969	3618	3-Acetyl Pyridine Adenine Dinucleotide
DB03970	2613, 3687, 6691, 6897	(6,7-Dihydro-5h-Cyclopenta[D]Imidazo[2,1-B]Thiazol-2-Yl]-4,7-Dihydro[1,4]Thiazepine-3,6-Dicarboxylic Acid
DB03971	2978, 4513	Acarbose Derived Hexasaccharide
DB03972		2-Amino-4h-1,3-Benzoxathiin-4-Ol
DB03973	2333	3-{2,6,8-Trioxo-9-[(2r,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate
DB03974	291	L-Homoarginine
DB03975	3623, 357	Mercuribenzoic Acid
DB03976	3176, 7039, 6011	Phosphorylisopropane
DB03977	1507, 465	N-Trimethyllysine
DB03978	3574, 3526, 256, 6878	Tyrosinal
DB03979	3102	1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol
DB03980	1540	4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole
DB03981	6654, 1525, 2805	1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid
DB03982	687	Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid
DB03983	4988	(Molybdopterin-S,S)-Dioxo-Thio-Molybdenum(V)
DB03984	2993	Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide
DB03985		R-azabisabolene
DB03986	3683	6-Methyl-Formycin A
DB03987	2833, 365	2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine
DB03988	5480	2,6-Diamino-Hexanoic Acid Amide
DB03989	3021	D-Allopyranose
DB03990		4'-Nitrophenyl-3i-Thiolaminaritrioside
DB03991	3140, 3546, 3026, 3609, 5481, 5482	2-Deoxy-2,3-Dehydro-N-Acetyl-Neuraminic Acid
DB03992		3-(Benzoylamino)-L-Alanine
DB03993	3688	4-Methyl Valeric Acid
DB03994	4778, 5483	Ethanolamine
DB03995	2606, 3668, 5484	Cyclo-Hepta-Amylose
DB03996	3379	3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol
DB03997	2546, 2698	Phosphoric Acid Mono-[2-Amino-3-(3h-Imidazol-4-Yl)-Propyl]Ester
DB03998		[2-(Methyleneamine)-4-(4-Hydroxy-Benzylidine)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde
DB03999	2968	Butylphosphonate
DB04000	921	Bromo-Willardiine
DB04001	687	6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid
DB04002	357	4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide
DB04003	937	(4-{2-Acetylamino-2-[1-(3-Carbamoyl-4-Cyclohexylmethoxy-Phenyl)-Ethylcarbamoyl}-Ethyl}-2-Phosphono-Phenoxy)-Acetic Acid
DB04004	2561	2,6-Diamino-8-(2-Dimethylaminoethylsulfanylmethyl)-3h-Quinazolin-4-One
DB04005	2697, 2297, 2694	Uridine 5'-Triphosphate
DB04006	2240	[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone
DB04007	3544	Bromo-WR99210
DB04008	3176	Bis(5-Amidino-Benzimidazolyl)Methane Zinc
DB04009	2119	Dimethyl Propionate Ester Heme
DB04010	3126	2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide
DB04011		2'-(4-Dimethylaminophenyl)-5-(4-Methyl-1-Piperazinyl)-2,5'-Bi-Benzimidazole
DB04012	768	(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine
DB04013	1152	1-Deoxy-1-Methoxycarbamido-Beta-D-Gluco-2-Heptulopyranosonamide
DB04014	1058, 1771, 1742, 1721	Alsterpaullone
DB04015	2800, 3684	Methionine Phosphinate
DB04016	1514, 1615	2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid
DB04017	3941	N-Methyl-N-Propargyl-3-(2,4-Dichlorophenoxy)Propylamine
DB04018	291	S-Isopropyl-Isothiourea
DB04020	869	4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol
DB04021	474	MF268
DB04022	3300, 3273	Guanosine-5',3'-Tetraphosphate
DB04023	3367	Guanosine 5'-(Trihydrogen Diphosphate), P'-D-Mannopyranosyl Ester
DB04024	2877	N'-L-Seryl-3'-Amino-(3'-Deoxy)-Adenosine
DB04026		Pseudotropine
DB04027	788	D-Arginine
DB04028	2372	Tyvelose
DB04029	6380, 5726, 6770	Phenylalanine Amide
DB04030	3678	1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole
DB04031	3453	Serine Vanadate
DB04032	2298	Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide
DB04033	5450	Z-Ala Prolinal
DB04034	2303	Ribulose-5-Phosphate
DB04035	4812, 2478, 6396	Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate
DB04036	440	Coenzyme a Persulfide
DB04037	2858, 6396	N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine
DB04038		Ergosterol
DB04039	2427, 2679, 6675	3-Oxo-Pentadecanoic Acid
DB04040	2693	N-(2-Morpholin-4-Yl-1-Morpholin-4-Ylmethyl-Ethyl)-3-Nitro-5-(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yloxy)-Benzamide
DB04041	3466	Nitrocefin Acyl-Serine
DB04042	3722	2-[4-(Hydroxy-Methoxy-Methyl)-Benzyl]-7-(4-Hydroxymethyl-Benzyl)-1,1-Dioxo-3,6-Bis-Phenoxymethyl-1lambda6-[1,2,7]Thiadiazepane-4,5-Diol
DB04043	1782	Carboxymycobactin T
DB04044	1152	4-{2-[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid
DB04045	3240	Methylmalonyl-Coenzyme A
DB04046		Methyl beta-galactoside
DB04047	5359, 2644	[Pterin-6-Yl Methanyl]-Phosphonophosphate
DB04048	3599	N-Carbamoyl-Alanine
DB04049		Coelenteramide
DB04050	6977	N-Propyl Isocyanide
DB04051	2537	5-Phenylvaleric Acid
DB04052	2264	3,4-Dimethylphenol
DB04053	3527	Hypophosphite
DB04054	1939	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB04055	1152	2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium
DB04056		6-Aminobenzoic Acid
DB04057	2287	Beta-Dadf, Msa, Multisubstrate Adduct Inhibitor
DB04058	2423, 6255	D-[(Amino)Carbonyl]Phenylalanine
DB04059	1074	8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide
DB04060		(5-Methyl-6-Oxo-1,6-Dihydro-Pyridin-3-Yl)-1,2-Dideoxy-Ribofuranose-5-Monophosphate
DB04061		Alpha-Amino-2-Indanacetic Acid
DB04062	3711, 3057	Beta-D-Fucose
DB04063	3688	2-Methylleucine
DB04064	5487	Nogalaviketone
DB04065	251	N-Cyclopentyl-N-Cyclobutylformamide
DB04066	5488, 2369, 6297, 6536	Para-Coumaric Acid
DB04067	4404, 4280	4-Hydroxybenzyl Coenzyme A
DB04068	5294	Fudp
DB04069	3231	5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine
DB04070	2972	6-Deoxyerythronolide B
DB04071	517	Cpad
DB04072	7014	Alpha-Methylisocitric Acid
DB04073	2723	N-{3-[4-(3-Amino-Propyl)-Piperazin-1-Yl]-Propyl}-3-Nitro-5-(Galactopyranosyl)-Beta-Benzamide
DB04074	3315, 3334, 3179, 795	Alpha-ketoisovalerate
DB04075	2892, 3550	N-Acetyl-L-Glutamate
DB04076	277	Hypoxanthine
DB04077	5489, 4692, 4311, 3709, 3336, 444, 7032, 6459, 7129, 3221, 3116, 3393, 3194, 3173, 6316, 3238, 5278, 3191, 2852, 2101, 2802, 904, 6270, 7006	Glycerol
DB04078	2300	Isobutylbenzene
DB04079	3119, 3395, 2207	Heptane-1,2,3-Triol
DB04080	933	RU78191
DB04081	357	(4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide
DB04082	3149, 6531	Decyloxy-Methanol
DB04083	5490, 4823, 5491, 5492, 5493, 301, 449, 2758, 1152, 349, 2249	N'-Pyridoxyl-Lysine-5'-Monophosphate
DB04084	3480	2-Deoxy-2-Fluoro-Alpha-D-Mannose
DB04085	2443	1-[Pyrrol-1-Yl-2,5-Dione-Methoxymethyl]-Pyrrole-2,5-Dione
DB04086	2252	2',4'-Dinitrophenyl-2deoxy-2-Fluro-B-D-Cellobioside
DB04087	7117, 3271	Open Form of 2'-Deoxy-Ribofuranose-5'-Phosphate
DB04088	687	N-(Allyloxycarbonyl)-4-[N-(Carboxy-Formyl)-2-(Benzoic Acid)-Amino]-L-Phenylalaninyl-Amino-Butyloxy-(6-Hydroxy-Benzoic Acid Methyl Ester)
DB04089	357	AL5300
DB04090	2157	2,5-Diaziridin-1-Yl-3-(Hydroxymethyl)-6-Methylcyclohexa-2,5-Diene-1,4-Dione
DB04091	6992	Alpha-L-1-Methyl-Fucose
DB04092	2985	Apstatin
DB04093		Undecanal
DB04094	768	4-Hydroxy-2-Butanone
DB04095	2870	9-Deazahypoxanthine
DB04096		5-Amino-5-Deoxy-Cellobiono-1,5-Lactam
DB04097	3461	Uridine-5'-Diphosphate-4-Deoxy-4-Fluoro-Alpha-D-Galactose
DB04098	6263	Balanol
DB04099	2910, 3296, 3087, 3333, 3217, 2434	Deamido-Nad+
DB04100	2443	(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I)
DB04101	2240	N-[4-(2,4-Dimethyl-1,3-Thiazol-5-Yl)Pyrimidin-2-Yl]-N'-Hydroxyimidoformamide
DB04102		2-Amino-Adenosine
DB04103	2557	3-Methylcytosine
DB04104	3012	3-Methyladenine
DB04105	444	N-Heptylformamide
DB04106	3610	Fotemustine
DB04107	3176	[(1-{2[(4-Carbamimidoyl-Phenylamino)-Methyl]-1-Methyl-1h-Benzoimidazol-5-Yl}-Cyclopropyl)-Pyridin-2-Yl-Methyleneaminooxy]-Acetic Acid Ethyl Ester
DB04108	2795	(2s,3r)-3-Amino-2-Hydroxy-5-(Ethylsulfanyl)Pentanoyl-((S)-(-)-(1-Naphthyl)Ethyl)Amide
DB04109	2886	[4-(1,3,2-Dioxaborolan-2-Yloxy)Methyl]Benzamidine
DB04110		2-Nitro-P-Cresol
DB04111		Balhimycin
DB04112	2981	1-Octadecyl-2-Acetamido-2-Deoxy-Sn-Glycerol-3-Phosphoethylmethyl Sulfide
DB04113	517	N-Formylpiperidine
DB04114	474	3-Chloro-9-Ethyl-6,7,8,9,10,11-Hexahydro-7,11-Methanocycloocta[B]Quinolin-12-Amine
DB04115	2331	Berberine
DB04116	2592	Allolactose
DB04117	7010	4-(N,N-Dimethylamino)Cinnamoyl-Coa
DB04118		N-Coeleneterazine
DB04119	6579, 7083	Hexatantalum Dodecabromide
DB04120	2264, 2658	4-Methyl-1,2-Benzenediol
DB04121	6316	Guanosine-3'-Monophosphate-5'-Diphosphate
DB04122	2630	Beta-D-Glucose-6-Phosphate
DB04123	2613	(P-Iodophenylacetylamino)Methylphosphinic Acid
DB04124	3170	Aurodox
DB04125	3176	N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine
DB04126	1233, 6472	N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-2-Methyl-Butane
DB04127	2952	Beta-D-Arabinofuranose-5'-Phosphate
DB04128	2642	5-Nitroso-6-Ribityl-Amino-2,4(1h,3h)-Pyrimidinedione
DB04129	921	Willardiine
DB04130	2264	5-Methoxybenzimidazole
DB04131	4378	10-(4-Dimethylamino-5-Hydroxy-6-Methyl-Tetrahydro-Pyran-2-Yloxy)-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione
DB04132	1313, 901, 904, 4541, 4031, 7051	S-Hexylglutathione
DB04133	332, 633	Degraded Cephaloridine
DB04134	1792	6-Amino Hexanoic Acid
DB04135	3394	5-Fluoro-4-(S)-Hydroxy-3,4-Dihydropyrimidine
DB04136	54	Lysophosphotidylserine
DB04137	7043, 3335, 2647, 7092, 1758, 2694, 7112, 3260, 7104, 3302, 1750, 3311, 2928, 6316, 3085, 3209, 201, 3978, 3354	Guanosine-5'-Triphosphate
DB04138	2936	2,4-Dinitro,5-[Bis(2-Bromoethyl)Amino]-N-(2',3'-Dioxopropyl)Benzamide
DB04139	2559	6-Hydroxypropylthymine
DB04140	1926	1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide
DB04141	237, 6356, 1227, 1495, 6357, 6358, 6359, 6360, 6362, 6363, 197, 4001, 3999, 6389, 4006	2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol
DB04142	687	3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid Dimethylamide
DB04143	6568, 6569	Indole-3-Glycerol Phosphate
DB04144	1485	Cis-[4,5-Bis-(4-Chlorophenyl)-2-(2-Isopropoxy-4-Methoxyphenyl)-4,5-Dihyd Roimidazol-1-Yl]-Piperazin-1-Yl-Methanone
DB04145		Pyridin-3-Ylmethanol
DB04146		I-Coeleneterazine
DB04147	3395, 2925, 3578, 3939, 3710, 6454, 6455, 6456, 6668, 6669, 6670, 6671, 6351, 6352, 6353, 6354, 6385, 6672, 2207, 6673, 6674, 2828, 2679, 6675, 6676, 6677, 6474, 6427, 6428, 6524, 6678, 6679, 6680, 6404, 6438, 6480, 6681, 6682, 6683, 6684, 6615, 6685, 4760, 2447, 6686, 424, 6687, 6688, 6689, 6690	Lauryl Dimethylamine-N-Oxide
DB04149	541, 2358	(R)-Rolipram
DB04150	3943	Threonine Derivative
DB04151	3822	4-Methyl-Histidine
